"ID";"Airports";"Periods";"CrossCountryFlights_1";"LocalFlights_2";"TotalFlights_3";"Scheduled_4";"NonScheduled_5";"TotalArrivalsFlights_6";"Scheduled_7";"NonScheduled_8";"TotalDeparturesFlights_9";"Scheduled_10";"NonScheduled_11";"TotalPassengers_12";"Scheduled_13";"NonScheduled_14";"TotalArrivalsPassengers_15";"Scheduled_16";"NonScheduled_17";"TotalDeparturesPassengers_18";"Scheduled_19";"NonScheduled_20";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"OtherEurope_24";"TotalIntercontinentalPassengers_25";"Africa_26";"NorthAfrica_27";"WestAfrica_28";"CentralAfrica_29";"EastAfrica_30";"SouthAfrica_31";"America_32";"NorthAmerica_33";"CentralAmerica_34";"SouthAmerica_35";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39";"Oceania_40";"OtherUnknown_41";"Unknown_42";"TotalCargo_43";"ScheduledCargo_44";"NonScheduledCargo_45";"TotalUnloadedCargo_46";"ScheduledCargo_47";"NonScheduledCargo_48";"TotalLoadedCargo_49";"ScheduledCargo_50";"NonScheduledCargo_51";"TotalCountryOfOriginDestination_52";"EuropeTotalCargo_53";"EUCountries_54";"OtherEurope_55";"TotalIntercontinentalCargo_56";"Africa_57";"NorthAfrica_58";"WestAfrica_59";"CentralAfrica_60";"EastAfrica_61";"SouthAfrica_62";"America_63";"NorthAmerica_64";"CentralAmerica_65";"SouthAmerica_66";"Asia_67";"WestAsia_68";"SouthEastAsia_69";"NorthEastAsia_70";"Oceania_71";"OtherUnknown_72";"Unknown_73";"TotalMail_74";"ScheduledMail_75";"NonScheduledCargoMail_76";"TotalUnloadedMail_77";"ScheduledMail_78";"NonScheduledMail_79";"TotalLoadedMail_80";"ScheduledMail_81";"NonScheduledMail_82";"TotalCountryOfOriginDestination_83";"EuropeTotalMail_84";"EUCountries_85";"OtherEurope_86";"TotalIntercontinentalMail_87";"Africa_88";"NorthAfrica_89";"WestAfrica_90";"CentralAfrica_91";"EastAfrica_92";"SouthAfrica_93";"America_94";"NorthAmerica_95";"CentralAmerica_96";"SouthAmerica_97";"Asia_98";"WestAsia_99";"SouthEastAsia_100";"NorthEastAsia_101";"Oceania_102"
"705";"A043590";"2014KW03";"  125044";"     859";"  122339";"  110734";"   11605";"   61171";"   55383";"    5788";"   61168";"   55351";"    5817";"16259615";"14534814";" 1724801";" 8093313";" 7239811";"  853502";" 8166302";" 7295003";"  871299";"16259615";"11405691";" 9265615";" 2140076";" 4853924";"  746441";"  306794";"   97084";"   23990";"  202569";"  116004";" 2447467";" 1781858";"  325843";"  339766";" 1660016";"  508609";"  481723";"  669684";"       0";"       0";"       0";"  409380";"  358252";"   51128";"  209922";"  183187";"   26735";"  199458";"  175064";"   24393";"  409380";"   38461";"   10895";"   27566";"  370919";"   39913";"    1857";"    2799";"     878";"   23099";"   11280";"  116591";"   77911";"    8004";"   30677";"  214415";"   50802";"   39910";"  123702";"       0";"       0";"       0";"    9311";"    9311";"       0";"    3141";"    3141";"       0";"    6170";"    6170";"       0";"    9311";"    3087";"    2294";"     793";"    6224";"     495";"      63";"     123";"      26";"     172";"     111";"    3065";"    2182";"     315";"     568";"    2664";"     454";"     640";"    1570";"       0"
"706";"A043590";"2014MM10";"   40786";"     315";"   39756";"   37049";"    2707";"   19878";"   18541";"    1337";"   19878";"   18508";"    1370";" 5023568";" 4665859";"  357709";" 2535869";" 2338600";"  197269";" 2487699";" 2327259";"  160440";" 5023568";" 3546449";" 2893559";"  652890";" 1477119";"  220687";"   78875";"   36582";"    6163";"   62212";"   36855";"  739098";"  526499";"  106637";"  105962";"  517334";"  162128";"  155667";"  199539";"       0";"       0";"       0";"  145348";"  126273";"   19075";"   74037";"   64448";"    9588";"   71311";"   61825";"    9486";"  145348";"   13748";"    4108";"    9640";"  131600";"   15879";"    1066";"    1050";"     280";"    9460";"    4024";"   41077";"   24951";"    2834";"   13292";"   74643";"   19258";"   13410";"   41976";"       0";"       0";"       0";"    3382";"    3382";"       0";"    1143";"    1143";"       0";"    2238";"    2238";"       0";"    3382";"    1195";"     927";"     268";"    2186";"     165";"      23";"      45";"       9";"      57";"      32";"    1073";"     793";"      82";"     197";"     948";"     185";"     225";"     538";"       0"
"707";"A043590";"2014MM11";"   34397";"     265";"   33554";"   32334";"    1220";"   16787";"   16172";"     615";"   16767";"   16162";"     605";" 3972843";" 3846388";"  126455";" 1995290";" 1925959";"   69331";" 1977553";" 1920429";"   57124";" 3972843";" 2719549";" 2298319";"  421230";" 1253294";"  199762";"   62736";"   40708";"    6004";"   55356";"   34958";"  585079";"  384072";"  107998";"   93009";"  468453";"  142874";"  157122";"  168457";"       0";"       0";"       0";"  142878";"  123791";"   19088";"   75618";"   65766";"    9851";"   67260";"   58024";"    9236";"  142878";"   13169";"    4155";"    9014";"  129709";"   15509";"    1134";"     868";"     280";"    9206";"    4021";"   38763";"   23303";"    3200";"   12260";"   75437";"   18690";"   13505";"   43242";"       0";"       0";"       0";"    3432";"    3432";"       0";"    1211";"    1211";"       0";"    2222";"    2222";"       0";"    3432";"    1325";"     991";"     334";"    2108";"     164";"      24";"      43";"      10";"      61";"      25";"     997";"     689";"      85";"     224";"     947";"     176";"     234";"     537";"       0"
"708";"A043590";"2014MM12";"   33545";"     266";"   32859";"   31693";"    1166";"   16452";"   15884";"     568";"   16407";"   15809";"     598";" 3974662";" 3867937";"  106725";" 1956860";" 1906710";"   50150";" 2017802";" 1961227";"   56575";" 3974662";" 2650810";" 2238065";"  412745";" 1323852";"  217387";"   65416";"   44941";"    7213";"   62176";"   37641";"  624974";"  407761";"  115971";"  101242";"  481491";"  153537";"  168662";"  159292";"       0";"       0";"       0";"  133886";"  116259";"   17626";"   69502";"   60468";"    9033";"   64384";"   55791";"    8593";"  133886";"   12309";"    3848";"    8462";"  121576";"   15332";"    2016";"     672";"     480";"    8972";"    3192";"   37720";"   22570";"    3486";"   11663";"   68524";"   18917";"   11717";"   37891";"       0";"       0";"       0";"    3964";"    3964";"       0";"    1474";"    1474";"       0";"    2491";"    2491";"       0";"    3964";"    1642";"    1213";"     429";"    2322";"     191";"      21";"      58";"      11";"      73";"      28";"    1104";"     820";"      76";"     208";"    1027";"     163";"     260";"     604";"       0"
"709";"A043590";"2014KW04";"  108728";"     846";"  106169";"  101076";"    5093";"   53117";"   50597";"    2520";"   53052";"   50479";"    2573";"12971073";"12380184";"  590889";" 6488019";" 6171269";"  316750";" 6483054";" 6208915";"  274139";"12971073";" 8916808";" 7429943";" 1486865";" 4054265";"  637836";"  207027";"  122231";"   19380";"  179744";"  109454";" 1949151";" 1318332";"  330606";"  300213";" 1467278";"  458539";"  481451";"  527288";"       0";"       0";"       0";"  422112";"  366323";"   55789";"  219156";"  190683";"   28473";"  202956";"  175640";"   27316";"  422112";"   39227";"   12110";"   27116";"  382885";"   46721";"    4216";"    2590";"    1041";"   27637";"   11237";"  117559";"   70824";"    9520";"   37215";"  218605";"   56865";"   38632";"  123108";"       0";"       0";"       0";"   10778";"   10778";"       0";"    3827";"    3827";"       0";"    6951";"    6951";"       0";"   10778";"    4162";"    3131";"    1031";"    6616";"     520";"      67";"     146";"      30";"     191";"      85";"    3174";"    2302";"     242";"     629";"    2922";"     523";"     720";"    1680";"       0"
"710";"A043590";"2014JJ00";"  449007";"    3673";"  438295";"  409834";"   28461";"  219154";"  204956";"   14198";"  219141";"  204878";"   14263";"54940534";"51150464";" 3790070";"27454136";"25568233";" 1885903";"27486398";"25582231";" 1904167";"54940534";"37903464";"31248970";" 6654494";"17037070";" 2650294";"  925673";"  473615";"   81980";"  714969";"  454057";" 8278151";" 5735759";" 1296686";" 1245706";" 6108625";" 1891499";" 1927186";" 2289940";"       0";"       0";"       0";" 1633192";" 1416317";"  216875";"  841324";"  729789";"  111535";"  791867";"  686528";"  105339";" 1633192";"  154286";"   46131";"  108155";" 1478905";"  175643";"   12585";"   10644";"    3717";"  104309";"   44389";"  458435";"  294112";"   34735";"  129588";"  844827";"  218486";"  149353";"  476989";"       0";"       0";"       0";"   37481";"   37480";"       0";"   13058";"   13057";"       0";"   24423";"   24423";"       0";"   37481";"   13400";"    9943";"    3457";"   24081";"    2013";"     272";"     570";"      96";"     665";"     409";"   11553";"    8228";"    1047";"    2278";"   10514";"    1927";"    2679";"    5908";"       0"
"711";"A043590";"2015MM01";"   32746";"     283";"   32032";"   30877";"    1155";"   15985";"   15414";"     571";"   16047";"   15463";"     584";" 3719441";" 3611850";"  107591";" 1874235";" 1818301";"   55934";" 1845206";" 1793549";"   51657";" 3719441";" 2407878";" 1993858";"  414020";" 1311563";"  215254";"   62306";"   44842";"    7250";"   65620";"   35236";"  602564";"  373946";"  121244";"  107374";"  493745";"  149103";"  176454";"  168188";"       0";"       0";"       0";"  120267";"  105945";"   14322";"   63562";"   56097";"    7465";"   56705";"   49849";"    6857";"  120267";"   10450";"    3184";"    7266";"  109817";"   14463";"    1493";"     719";"     241";"    9279";"    2733";"   33881";"   21201";"    2660";"   10020";"   61465";"   16880";"    9744";"   34841";"       8";"       0";"       0";"    3428";"    3428";"       0";"    1136";"    1136";"       0";"    2292";"    2292";"       0";"    3428";"    1285";"     944";"     341";"    2143";"     146";"      18";"      39";"       9";"      52";"      27";"     956";"     681";"      74";"     201";"    1042";"     163";"     215";"     663";"       0"
"712";"A043590";"2015MM02";"   31365";"     266";"   30607";"   29457";"    1150";"   15298";"   14743";"     555";"   15309";"   14714";"     595";" 3602644";" 3487116";"  115528";" 1782456";" 1725752";"   56704";" 1820188";" 1761364";"   58824";" 3602644";" 2458211";" 2046556";"  411655";" 1144433";"  193967";"   60059";"   35356";"    5821";"   60433";"   32298";"  506992";"  308215";"  106749";"   92028";"  443474";"  134920";"  151836";"  156718";"       0";"       0";"       0";"  125978";"  109336";"   16642";"   65200";"   56556";"    8644";"   60779";"   52780";"    7998";"  125978";"    9948";"    3912";"    6036";"  116030";"   14851";"    1158";"     743";"     237";"    9563";"    3150";"   39944";"   24601";"    3006";"   12337";"   61219";"   18543";"   11087";"   31589";"      15";"       0";"       0";"    2857";"    2857";"       0";"     922";"     922";"       0";"    1935";"    1935";"       0";"    2857";"    1109";"     799";"     311";"    1747";"     127";"      19";"      43";"       6";"      44";"      16";"     781";"     535";"      73";"     173";"     839";"     141";"     192";"     506";"       0"
"713";"A043590";"2015MM03";"   35498";"     255";"   34599";"   33385";"    1214";"   17310";"   16702";"     608";"   17289";"   16683";"     606";" 4194059";" 4074504";"  119555";" 2130477";" 2067363";"   63114";" 2063582";" 2007141";"   56441";" 4194059";" 2870299";" 2399081";"  471218";" 1323760";"  210779";"   65604";"   43624";"    6501";"   58290";"   36760";"  622212";"  402484";"  115104";"  104624";"  490769";"  148450";"  157953";"  184366";"       0";"       0";"       0";"  139596";"  120730";"   18866";"   68309";"   59299";"    9010";"   71286";"   61431";"    9856";"  139596";"   10283";"    4149";"    6135";"  129312";"   15695";"    1324";"     822";"     351";"    9542";"    3656";"   42195";"   28184";"    2726";"   11285";"   71422";"   19342";"   13708";"   38372";"       0";"       0";"       0";"    2899";"    2899";"       0";"     968";"     968";"       0";"    1931";"    1931";"       0";"    2899";"    1123";"     815";"     308";"    1775";"     131";"      21";"      38";"       7";"      50";"      15";"     758";"     466";"      70";"     222";"     886";"     107";"     237";"     542";"       0"
"714";"A043590";"2015KW01";"   99609";"     804";"   97238";"   93719";"    3519";"   48593";"   46859";"    1734";"   48645";"   46860";"    1785";"11516144";"11173470";"  342674";" 5787168";" 5611416";"  175752";" 5728976";" 5562054";"  166922";"11516144";" 7736388";" 6439495";" 1296893";" 3779756";"  620000";"  187969";"  123822";"   19572";"  184343";"  104294";" 1731768";" 1084645";"  343097";"  304026";" 1427988";"  432473";"  486243";"  509272";"       0";"       0";"       0";"  385841";"  336011";"   49830";"  197071";"  171951";"   25119";"  188771";"  164060";"   24711";"  385841";"   30681";"   11245";"   19437";"  355160";"   45009";"    3974";"    2283";"     829";"   28384";"    9539";"  116021";"   73986";"    8392";"   33643";"  194107";"   54765";"   34540";"  104802";"      23";"       0";"       0";"    9183";"    9183";"       0";"    3025";"    3025";"       0";"    6158";"    6158";"       0";"    9183";"    3517";"    2558";"     960";"    5666";"     404";"      58";"     119";"      22";"     146";"      58";"    2495";"    1683";"     216";"     596";"    2767";"     412";"     644";"    1712";"       0"
"715";"A043590";"2015MM04";"   38460";"     312";"   37602";"   35824";"    1778";"   18797";"   17910";"     887";"   18805";"   17914";"     891";" 4769994";" 4579168";"  190826";" 2333141";" 2257208";"   75933";" 2436853";" 2321960";"  114893";" 4769994";" 3365931";" 2798257";"  567674";" 1404063";"  209419";"   78088";"   43721";"    6054";"   51431";"   30125";"  697454";"  485299";"  105630";"  106525";"  497190";"  159174";"  140795";"  197221";"       0";"       0";"       0";"  128842";"  116497";"   12345";"   66590";"   60611";"    5979";"   62252";"   55886";"    6366";"  128842";"   10809";"    3880";"    6929";"  118033";"   13934";"     928";"     733";"     226";"    8969";"    3078";"   38526";"   25515";"    2799";"   10212";"   65573";"   17083";"    9253";"   39237";"       0";"       0";"       0";"    2801";"    2801";"       0";"     944";"     944";"       0";"    1857";"    1857";"       0";"    2801";"    1097";"     784";"     313";"    1704";"     137";"      14";"      41";"      10";"      50";"      22";"     805";"     492";"      65";"     248";"     762";"     140";"     206";"     416";"       0"
"716";"A043590";"2015MM05";"   42132";"     281";"   41072";"   38046";"    3026";"   20535";"   19050";"    1485";"   20537";"   18996";"    1541";" 5380588";" 4947370";"  433218";" 2707937";" 2497151";"  210786";" 2672651";" 2450219";"  222432";" 5380588";" 3880734";" 3156850";"  723884";" 1499854";"  204011";"   76024";"   38026";"    7220";"   53473";"   29268";"  801872";"  579116";"  108063";"  114693";"  493971";"  155701";"  141172";"  197098";"       0";"       0";"       0";"  137664";"  123256";"   14409";"   70230";"   62779";"    7451";"   67434";"   60476";"    6958";"  137664";"   11452";"    4081";"    7372";"  126212";"   15703";"    1043";"     763";"     398";"    9619";"    3879";"   40931";"   26913";"    3047";"   10970";"   69574";"   18004";"   10556";"   41014";"       5";"       0";"       0";"    2667";"    2667";"       0";"     973";"     973";"       0";"    1695";"    1695";"       0";"    2667";"    1030";"     747";"     284";"    1637";"     129";"      12";"      45";"       8";"      46";"      19";"     786";"     511";"      54";"     222";"     721";"     166";"     221";"     334";"       0"
"717";"A043590";"2015MM06";"   41273";"     271";"   40066";"   37419";"    2647";"   20035";"   18727";"    1308";"   20031";"   18692";"    1339";" 5321300";" 4949019";"  372281";" 2660014";" 2475491";"  184523";" 2661286";" 2473528";"  187758";" 5321300";" 3781882";" 3109914";"  671968";" 1539418";"  200610";"   61512";"   35945";"    7127";"   66715";"   29311";"  831330";"  608987";"  106304";"  116039";"  507478";"  157569";"  138453";"  211456";"       0";"       0";"       0";"  132218";"  118616";"   13602";"   65652";"   58861";"    6791";"   66566";"   59755";"    6811";"  132218";"   11255";"    3967";"    7287";"  120963";"   14213";"    1195";"     767";"     285";"    7820";"    4147";"   39497";"   26234";"    2801";"   10461";"   67249";"   16668";"   11640";"   38941";"       4";"       0";"       0";"    2655";"    2655";"       0";"    1005";"    1005";"       0";"    1650";"    1650";"       0";"    2655";"    1021";"     747";"     273";"    1634";"     163";"      13";"      73";"       8";"      42";"      27";"     776";"     490";"      64";"     222";"     695";"     163";"     223";"     310";"       0"
"718";"A043590";"2015KW02";"  121865";"     864";"  118740";"  111289";"    7451";"   59367";"   55687";"    3680";"   59373";"   55602";"    3771";"15471882";"14475557";"  996325";" 7701092";" 7229850";"  471242";" 7770790";" 7245707";"  525083";"15471882";"11028547";" 9065021";" 1963526";" 4443335";"  614040";"  215624";"  117692";"   20401";"  171619";"   88704";" 2330656";" 1673402";"  319997";"  337257";" 1498639";"  472444";"  420420";"  605775";"       0";"       0";"       0";"  398724";"  358368";"   40355";"  202472";"  182251";"   20221";"  196252";"  176117";"   20134";"  398724";"   33516";"   11928";"   21588";"  365208";"   43850";"    3165";"    2264";"     909";"   26408";"   11104";"  118954";"   78663";"    8647";"   31643";"  202396";"   51755";"   31450";"  119191";"       9";"       0";"       0";"    8123";"    8123";"       0";"    2921";"    2921";"       0";"    5202";"    5202";"       0";"    8123";"    3148";"    2279";"     869";"    4975";"     428";"      40";"     159";"      25";"     138";"      67";"    2368";"    1493";"     183";"     692";"    2179";"     469";"     649";"    1060";"       0"
"719";"A043590";"2015MM07";"   43503";"     282";"   42494";"   38460";"    4034";"   21239";"   19202";"    2037";"   21255";"   19258";"    1997";" 5914428";" 5311056";"  603372";" 2790465";" 2524382";"  266083";" 3123963";" 2786674";"  337289";" 5914428";" 4197398";" 3372613";"  824785";" 1717030";"  247180";"   94230";"   37527";"    8057";"   76096";"   31270";"  872530";"  626486";"  121865";"  124179";"  597320";"  193608";"  151270";"  252442";"       0";"       0";"       0";"  133762";"  120719";"   13044";"   66392";"   59875";"    6517";"   67370";"   60843";"    6527";"  133762";"   11723";"    4090";"    7633";"  122039";"   12750";"     615";"     908";"     381";"    7081";"    3766";"   40471";"   26578";"    3466";"   10427";"   68818";"   17358";"   10805";"   40655";"       0";"       0";"       0";"    2545";"    2545";"       0";"     986";"     986";"       0";"    1559";"    1559";"       0";"    2545";"     980";"     719";"     261";"    1565";"     166";"      14";"      86";"       6";"      34";"      26";"     744";"     480";"      68";"     195";"     655";"     144";"     220";"     291";"       0"
"720";"A043590";"2015MM08";"   43212";"     343";"   42339";"   38216";"    4123";"   21176";"   19133";"    2043";"   21163";"   19083";"    2080";" 5937238";" 5314700";"  622538";" 3107242";" 2768224";"  339018";" 2829996";" 2546476";"  283520";" 5937238";" 4150650";" 3326400";"  824250";" 1786588";"  266886";"  106511";"   40731";"    8793";"   77665";"   33186";"  893391";"  648241";"  121228";"  123922";"  626311";"  210165";"  158591";"  257555";"       0";"       0";"       0";"  137613";"  123522";"   14091";"   69553";"   62340";"    7213";"   68060";"   61182";"    6878";"  137613";"   11178";"    4034";"    7144";"  126435";"   14243";"     781";"     973";"     414";"    8234";"    3841";"   41496";"   27048";"    3453";"   10995";"   70697";"   18071";"   11343";"   41283";"       0";"       0";"       0";"    2456";"    2456";"       0";"     934";"     934";"       0";"    1522";"    1522";"       0";"    2456";"     914";"     663";"     251";"    1542";"     146";"      13";"      77";"       7";"      32";"      17";"     743";"     476";"      75";"     192";"     654";"     150";"     227";"     277";"       0"
"721";"A043590";"2015MM09";"   41616";"     251";"   40558";"   37863";"    2695";"   20286";"   18947";"    1339";"   20272";"   18916";"    1356";" 5466239";" 5101666";"  364573";" 2737082";" 2549688";"  187394";" 2729157";" 2551978";"  177179";" 5466239";" 3868276";" 3179873";"  688403";" 1597963";"  216632";"   74884";"   38698";"    7480";"   65143";"   30427";"  836065";"  603797";"  110657";"  121611";"  545266";"  170257";"  143685";"  231324";"       0";"       0";"       0";"  137612";"  122729";"   14883";"   69260";"   61960";"    7300";"   68352";"   60769";"    7583";"  137612";"   11593";"    4260";"    7333";"  126019";"   14387";"     760";"     792";"     356";"    8333";"    4145";"   41404";"   26872";"    3372";"   11160";"   70227";"   18675";"   11470";"   40082";"       1";"       0";"       0";"    2627";"    2625";"       3";"    1002";"    1002";"       0";"    1626";"    1623";"       3";"    2627";"    1048";"     776";"     272";"    1579";"     135";"      13";"      63";"       7";"      35";"      16";"     791";"     549";"      71";"     171";"     653";"     154";"     233";"     266";"       0"
"722";"A043590";"2015KW03";"  128331";"     876";"  125391";"  114539";"   10852";"   62701";"   57282";"    5419";"   62690";"   57257";"    5433";"17317905";"15727422";" 1590483";" 8634789";" 7842294";"  792495";" 8683116";" 7885128";"  797988";"17317905";"12216324";" 9878886";" 2337438";" 5101581";"  730698";"  275625";"  116956";"   24330";"  218904";"   94883";" 2601986";" 1878524";"  353750";"  369712";" 1768897";"  574030";"  453546";"  741321";"       0";"       0";"       0";"  408988";"  366970";"   42018";"  205205";"  184175";"   21030";"  203782";"  182794";"   20988";"  408988";"   34494";"   12384";"   22110";"  374494";"   41380";"    2156";"    2673";"    1152";"   23648";"   11752";"  123371";"   80498";"   10290";"   32583";"  209742";"   54104";"   33618";"  122020";"       1";"       0";"       0";"    7629";"    7626";"       3";"    2922";"    2922";"       0";"    4707";"    4704";"       3";"    7629";"    2942";"    2158";"     784";"    4687";"     447";"      41";"     226";"      20";"     102";"      59";"    2278";"    1504";"     215";"     558";"    1962";"     448";"     680";"     834";"       0"
"723";"A043590";"2015MM10";"   41305";"     274";"   40241";"   37944";"    2297";"   20108";"   18981";"    1127";"   20133";"   18963";"    1170";" 5326372";" 5031339";"  295033";" 2678899";" 2519305";"  159594";" 2647473";" 2512034";"  135439";" 5326372";" 3768179";" 3091581";"  676598";" 1558193";"  217793";"   70668";"   45285";"    6586";"   62454";"   32800";"  796260";"  566462";"  113169";"  116629";"  544140";"  181221";"  148016";"  214903";"       0";"       0";"       0";"  147194";"  132265";"   14928";"   74223";"   66809";"    7414";"   72971";"   65456";"    7514";"  147194";"   11914";"    4640";"    7274";"  135280";"   16254";"    1315";"     670";"     378";"    9753";"    4138";"   44783";"   29388";"    3577";"   11818";"   74243";"   19142";"   12576";"   42525";"       0";"       0";"       0";"    2857";"    2857";"       0";"    1116";"    1116";"       0";"    1741";"    1741";"       0";"    2857";"    1092";"     790";"     302";"    1765";"     156";"      17";"      80";"       6";"      36";"      17";"     887";"     626";"      84";"     176";"     722";"     156";"     269";"     297";"       0"
"724";"A043590";"2015MM11";"   35487";"     258";"   34454";"   33509";"     945";"   17243";"   16762";"     481";"   17211";"   16747";"     464";" 4325395";" 4242919";"   82476";" 2169687";" 2123884";"   45803";" 2155708";" 2119035";"   36673";" 4325395";" 3016712";" 2544606";"  472106";" 1308683";"  203598";"   56669";"   49919";"    6224";"   53977";"   36809";"  619611";"  400208";"  113575";"  105828";"  485474";"  171160";"  146868";"  167446";"       0";"       0";"       0";"  144722";"  130976";"   13746";"   75057";"   67855";"    7203";"   69664";"   63121";"    6543";"  144722";"   12382";"    4815";"    7567";"  132339";"   15328";"    1302";"     710";"     315";"    9203";"    3798";"   41295";"   25442";"    3999";"   11854";"   75716";"   17933";"   12358";"   45425";"       0";"       0";"       0";"    2847";"    2847";"       0";"    1106";"    1106";"       0";"    1741";"    1741";"       0";"    2847";"    1132";"     833";"     299";"    1715";"     127";"      16";"      48";"       9";"      40";"      14";"     891";"     636";"      89";"     167";"     696";"     129";"     239";"     328";"       0"
"725";"A043590";"2015MM12";"   35520";"     315";"   34609";"   33745";"     864";"   17313";"   16895";"     418";"   17296";"   16850";"     446";" 4287593";" 4216980";"   70613";" 2116536";" 2082771";"   33765";" 2171057";" 2134209";"   36848";" 4287593";" 2916811";" 2447820";"  468991";" 1370782";"  212138";"   54614";"   52493";"    7990";"   58347";"   38694";"  656486";"  418629";"  121675";"  116182";"  502158";"  185041";"  161434";"  155683";"       0";"       0";"       0";"  135283";"  123192";"   12091";"   69923";"   63487";"    6437";"   65359";"   59705";"    5654";"  135283";"   11501";"    4431";"    7070";"  123782";"   14800";"    1456";"     683";"     343";"    9009";"    3310";"   38559";"   23442";"    4243";"   10873";"   70421";"   18769";"   10938";"   40714";"       2";"       0";"       0";"    3746";"    3746";"       0";"    1385";"    1385";"       0";"    2361";"    2361";"       0";"    3746";"    1503";"    1117";"     386";"    2243";"     147";"      18";"      52";"       8";"      52";"      17";"    1097";"     813";"     115";"     169";"    1000";"     130";"     252";"     617";"       0"
"726";"A043590";"2015KW04";"  112312";"     847";"  109304";"  105198";"    4106";"   54664";"   52638";"    2026";"   54640";"   52560";"    2080";"13939360";"13491238";"  448122";" 6965122";" 6725960";"  239162";" 6974238";" 6765278";"  208960";"13939360";" 9701702";" 8084007";" 1617695";" 4237658";"  633529";"  181951";"  147697";"   20800";"  174778";"  108303";" 2072357";" 1385299";"  348419";"  338639";" 1531772";"  537422";"  456318";"  538032";"       0";"       0";"       0";"  427198";"  386433";"   40765";"  219204";"  198151";"   21053";"  207994";"  188283";"   19711";"  427198";"   35797";"   13886";"   21911";"  391401";"   46381";"    4073";"    2063";"    1035";"   27965";"   11245";"  124637";"   78272";"   11820";"   34545";"  220380";"   55844";"   35872";"  128664";"       2";"       0";"       0";"    9450";"    9450";"       0";"    3607";"    3607";"       0";"    5843";"    5843";"       0";"    9450";"    3727";"    2740";"     987";"    5723";"     430";"      51";"     179";"      23";"     128";"      48";"    2875";"    2074";"     288";"     512";"    2418";"     415";"     760";"    1242";"       0"
"727";"A043590";"2015JJ00";"  462117";"    3391";"  450673";"  424745";"   25928";"  225325";"  212466";"   12859";"  225348";"  212279";"   13069";"58245291";"54867687";" 3377604";"29088171";"27409520";" 1678651";"29157120";"27458167";" 1698953";"58245291";"40682961";"33467409";" 7215552";"17562330";" 2598267";"  861169";"  506167";"   85103";"  749644";"  396184";" 8736767";" 6021870";" 1365263";" 1349634";" 6227296";" 2016369";" 1816527";" 2394400";"       0";"       0";"       0";" 1620750";" 1447783";"  172968";"  823952";"  736529";"   87423";"  796799";"  711254";"   85544";" 1620750";"  134488";"   49443";"   85045";" 1486262";"  176620";"   13368";"    9283";"    3925";"  106405";"   43640";"  482982";"  311418";"   39149";"  132414";"  826624";"  216468";"  135479";"  474677";"      35";"       0";"       0";"   34385";"   34382";"       3";"   12476";"   12476";"       0";"   21909";"   21906";"       3";"   34385";"   13334";"    9734";"    3600";"   21050";"    1709";"     189";"     683";"      91";"     514";"     232";"   10015";"    6754";"     902";"    2359";"    9326";"    1745";"    2733";"    4848";"       0"
"728";"A043590";"2016MM01";"   34003";"     352";"   33151";"   32373";"     778";"   16567";"   16176";"     391";"   16584";"   16197";"     387";" 4108820";" 4042069";"   66751";" 2067977";" 2033010";"   34967";" 2040843";" 2009059";"   31784";" 4108820";" 2745595";" 2297387";"  448208";" 1363225";"  211744";"   50114";"   55187";"    7668";"   60214";"   38561";"  634604";"  384878";"  126959";"  122767";"  516877";"  177586";"  163095";"  176196";"       0";"       0";"       0";"  125976";"  115434";"   10542";"   67219";"   61428";"    5791";"   58757";"   54006";"    4751";"  125976";"   12462";"    4269";"    8193";"  113514";"   13795";"    1162";"     670";"     304";"    8747";"    2912";"   37295";"   23718";"    3567";"   10010";"   62424";"   16306";"    9102";"   37017";"       0";"       0";"       0";"    3145";"    3145";"       0";"    1145";"    1145";"       0";"    2000";"    2000";"       0";"    3145";"    1226";"     869";"     356";"    1919";"     117";"      15";"      39";"       6";"      41";"      16";"     842";"     587";"      97";"     158";"     960";"     132";"     220";"     608";"       0"
"729";"A043590";"2016MM02";"   33832";"     385";"   32959";"   32156";"     803";"   16478";"   16082";"     396";"   16481";"   16074";"     407";" 4095405";" 4027912";"   67493";" 2024205";" 1990387";"   33818";" 2071200";" 2037525";"   33675";" 4095405";" 2880353";" 2423626";"  456727";" 1215052";"  194933";"   47166";"   49903";"    7105";"   54956";"   35803";"  550982";"  330153";"  115781";"  105048";"  469137";"  168834";"  137090";"  163213";"       0";"       0";"       0";"  122829";"  112035";"   10794";"   64706";"   58933";"    5773";"   58123";"   53102";"    5021";"  122829";"   12308";"    4355";"    7954";"  110520";"   16156";"    1482";"     684";"     347";"   10564";"    3080";"   39345";"   24897";"    3550";"   10898";"   55019";"   17111";"    8849";"   29060";"       0";"       0";"       0";"    2558";"    2558";"       0";"     961";"     961";"       0";"    1597";"    1597";"       0";"    2558";"     973";"     704";"     269";"    1586";"     125";"      15";"      58";"       5";"      35";"      12";"     773";"     548";"      82";"     143";"     688";"     124";"     142";"     422";"       0"
