"ID";"Airports";"Periods";"CrossCountryFlights_1";"LocalFlights_2";"TotalFlights_3";"Scheduled_4";"NonScheduled_5";"TotalArrivalsFlights_6";"Scheduled_7";"NonScheduled_8";"TotalDeparturesFlights_9";"Scheduled_10";"NonScheduled_11";"TotalPassengers_12";"Scheduled_13";"NonScheduled_14";"TotalArrivalsPassengers_15";"Scheduled_16";"NonScheduled_17";"TotalDeparturesPassengers_18";"Scheduled_19";"NonScheduled_20";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"OtherEurope_24";"TotalIntercontinentalPassengers_25";"Africa_26";"NorthAfrica_27";"WestAfrica_28";"CentralAfrica_29";"EastAfrica_30";"SouthAfrica_31";"America_32";"NorthAmerica_33";"CentralAmerica_34";"SouthAmerica_35";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39";"Oceania_40";"OtherUnknown_41";"Unknown_42";"TotalCargo_43";"ScheduledCargo_44";"NonScheduledCargo_45";"TotalUnloadedCargo_46";"ScheduledCargo_47";"NonScheduledCargo_48";"TotalLoadedCargo_49";"ScheduledCargo_50";"NonScheduledCargo_51";"TotalCountryOfOriginDestination_52";"EuropeTotalCargo_53";"EUCountries_54";"OtherEurope_55";"TotalIntercontinentalCargo_56";"Africa_57";"NorthAfrica_58";"WestAfrica_59";"CentralAfrica_60";"EastAfrica_61";"SouthAfrica_62";"America_63";"NorthAmerica_64";"CentralAmerica_65";"SouthAmerica_66";"Asia_67";"WestAsia_68";"SouthEastAsia_69";"NorthEastAsia_70";"Oceania_71";"OtherUnknown_72";"Unknown_73";"TotalMail_74";"ScheduledMail_75";"NonScheduledCargoMail_76";"TotalUnloadedMail_77";"ScheduledMail_78";"NonScheduledMail_79";"TotalLoadedMail_80";"ScheduledMail_81";"NonScheduledMail_82";"TotalCountryOfOriginDestination_83";"EuropeTotalMail_84";"EUCountries_85";"OtherEurope_86";"TotalIntercontinentalMail_87";"Africa_88";"NorthAfrica_89";"WestAfrica_90";"CentralAfrica_91";"EastAfrica_92";"SouthAfrica_93";"America_94";"NorthAmerica_95";"CentralAmerica_96";"SouthAmerica_97";"Asia_98";"WestAsia_99";"SouthEastAsia_100";"NorthEastAsia_101";"Oceania_102"
"447";"A043590";"1999MM07";"   36589";"     832";"   35529";"   31540";"    3989";"   17754";"   15763";"    1991";"   17775";"   15777";"    1998";" 3610786";" 2961846";"  648940";" 1693176";" 1420736";"  272440";" 1917610";" 1541110";"  376500";" 3610786";" 2420422";" 1974481";"  445941";" 1190364";"  145286";"   68439";"   27096";"       0";"   29206";"   20545";"  670512";"  538704";"   63558";"   68250";"  365967";"  128138";"  116167";"  121662";"    8599";"       0";"       0";"   96040";"   81062";"   14978";"   44801";"   38043";"    6758";"   51239";"   43019";"    8220";"   96040";"   12324";"   10427";"    1897";"   83716";"    6634";"     580";"     595";"       0";"    2558";"    2901";"   33913";"   24762";"    3645";"    5506";"   42478";"   12363";"   12041";"   18074";"     691";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"448";"A043590";"1999MM08";"   36485";"     678";"   35625";"   31518";"    4107";"   17818";"   15773";"    2045";"   17807";"   15745";"    2062";" 3709274";" 3005101";"  704173";" 1937342";" 1549037";"  388305";" 1771932";" 1456064";"  315868";" 3709274";" 2461637";" 2003578";"  458059";" 1247637";"  150400";"   71232";"   28745";"       0";"   29125";"   21298";"  692770";"  554157";"   66641";"   71972";"  395456";"  150219";"  123020";"  122217";"    9011";"       0";"       0";"   90496";"   75591";"   14905";"   42945";"   35982";"    6963";"   47551";"   39609";"    7942";"   90497";"   12073";"   10310";"    1763";"   78424";"    6539";"     470";"     659";"       0";"    2847";"    2563";"   32220";"   23913";"    3245";"    5062";"   38873";"   12277";"   10984";"   15612";"     792";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"449";"A043590";"1999MM09";"   35656";"     726";"   34411";"   31025";"    3386";"   17203";"   15515";"    1688";"   17208";"   15510";"    1698";" 3467185";" 2953884";"  513301";" 1742014";" 1472698";"  269316";" 1725171";" 1481186";"  243985";" 3467185";" 2340328";" 1964517";"  375811";" 1126857";"  134339";"   60075";"   25833";"       0";"   26909";"   21522";"  634140";"  512282";"   56997";"   64861";"  350160";"  121234";"  111050";"  117876";"    8218";"       0";"       0";"   95374";"   78839";"   16535";"   45937";"   37388";"    8549";"   49437";"   41451";"    7986";"   95372";"   12990";"   11230";"    1760";"   82382";"    8204";"     543";"     591";"       0";"    4372";"    2698";"   32752";"   23382";"    3165";"    6205";"   40808";"   12692";"   12065";"   16051";"     618";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"450";"A043590";"1999KW03";"  108730";"    2236";"  105565";"   94083";"   11482";"   52775";"   47051";"    5724";"   52790";"   47032";"    5758";"10787245";" 8920831";" 1866414";" 5372532";" 4442471";"  930061";" 5414713";" 4478360";"  936353";"10787245";" 7222387";" 5942576";" 1279811";" 3564858";"  430025";"  199746";"   81674";"       0";"   85240";"   63365";" 1997422";" 1605143";"  187196";"  205083";" 1111583";"  399591";"  350237";"  361755";"   25828";"       0";"       0";"  281910";"  235492";"   46418";"  133683";"  111413";"   22270";"  148227";"  124079";"   24148";"  281909";"   37387";"   31967";"    5420";"  244522";"   21377";"    1593";"    1845";"       0";"    9777";"    8162";"   98885";"   72057";"   10055";"   16773";"  122159";"   37332";"   35090";"   49737";"    2101";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"451";"A043590";"1999MM10";"   36292";"     620";"   35126";"   31991";"    3135";"   17566";"   15994";"    1572";"   17560";"   15997";"    1563";" 3449646";" 3002059";"  447587";" 1738734";" 1495431";"  243303";" 1710912";" 1506628";"  204284";" 3449646";" 2300568";" 1918892";"  381676";" 1149078";"  137098";"   64478";"   22941";"       0";"   27628";"   22051";"  628633";"  501679";"   62796";"   64158";"  374954";"  134680";"  122041";"  118233";"    8393";"       0";"       0";"  107464";"   87993";"   19471";"   52505";"   42179";"   10326";"   54959";"   45814";"    9145";"  107464";"   13385";"   11458";"    1927";"   94079";"    9730";"     790";"     594";"     170";"    4770";"    3406";"   37226";"   26023";"    3558";"    7645";"   46322";"   14146";"   12489";"   19687";"     801";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"452";"A043590";"1999MM11";"   34169";"     622";"   33182";"   31520";"    1662";"   16596";"   15757";"     839";"   16586";"   15763";"     823";" 2802951";" 2624220";"  178731";" 1415707";" 1320568";"   95139";" 1387244";" 1303652";"   83592";" 2802951";" 1819948";" 1534115";"  285833";"  983003";"  123495";"   54467";"   23361";"       0";"   23166";"   22501";"  515870";"  394949";"   65438";"   55483";"  335969";"  105347";"  132419";"   98203";"    7669";"       0";"       0";"  106774";"   84491";"   22283";"   53191";"   40937";"   12254";"   53583";"   43554";"   10029";"  106772";"   10948";"    9296";"    1652";"   95824";"   10475";"    1012";"     759";"      74";"    5544";"    3086";"   35210";"   24390";"    3477";"    7343";"   49108";"   15915";"   11116";"   22077";"    1031";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"453";"A043590";"1999MM12";"   32288";"     548";"   31521";"   30014";"    1507";"   15799";"   15040";"     759";"   15722";"   14974";"     748";" 2462530";" 2334104";"  128426";" 1229667";" 1165743";"   63924";" 1232863";" 1168361";"   64502";" 2462530";" 1584168";" 1321947";"  262221";"  878362";"  111273";"   40756";"   25924";"     113";"   24003";"   20477";"  464360";"  351598";"   63871";"   48891";"  295176";"   92084";"  119712";"   83380";"    7553";"       0";"       0";"  105293";"   81890";"   23403";"   54364";"   41084";"   13280";"   50929";"   40806";"   10123";"  105295";"   11059";"    9363";"    1696";"   94236";"   10072";"     905";"     513";"     154";"    5617";"    2883";"   34436";"   23806";"    3629";"    7001";"   48753";"   16569";"   10996";"   21188";"     975";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"454";"A043590";"1999KW04";"  102749";"    1790";"   99829";"   93525";"    6304";"   49961";"   46791";"    3170";"   49868";"   46734";"    3134";" 8715127";" 7960383";"  754744";" 4384108";" 3981742";"  402366";" 4331019";" 3978641";"  352378";" 8715127";" 5704684";" 4774954";"  929730";" 3010443";"  371866";"  159701";"   72226";"     113";"   74797";"   65029";" 1608863";" 1248226";"  192105";"  168532";" 1006099";"  332111";"  374172";"  299816";"   23615";"       0";"       0";"  319531";"  254374";"   65157";"  160060";"  124200";"   35860";"  159471";"  130174";"   29297";"  319531";"   35392";"   30117";"    5275";"  284139";"   30277";"    2707";"    1866";"     398";"   15931";"    9375";"  106872";"   74219";"   10664";"   21989";"  144183";"   46630";"   34601";"   62952";"    2807";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"455";"A043590";"1999JJ00";"  405764";"    8450";"  393605";"  362579";"   31026";"  196841";"  181348";"   15493";"  196764";"  181231";"   15533";"36425113";"32099376";" 4325737";"18186152";"16042943";" 2143209";"18238961";"16056433";" 2182528";"36425113";"24134366";"20168638";" 3965728";"12290747";" 1472105";"  646928";"  288309";"     184";"  286425";"  250259";" 6730288";" 5335910";"  712023";"  682355";" 3992786";" 1342156";" 1401413";" 1249217";"   95568";"       0";"       0";" 1180717";"  957445";"  223272";"  587552";"  467851";"  119701";"  593165";"  489594";"  103571";" 1180718";"  142119";"  120341";"   21778";" 1038597";"  101211";"    7716";"    8469";"     398";"   49537";"   35091";"  402575";"  283952";"   44865";"   73758";"  525545";"  184672";"  129977";"  210896";"    9266";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"456";"A043590";"2000MM01";"   33358";"     288";"   32537";"   31076";"    1461";"   16229";"   15491";"     738";"   16308";"   15585";"     723";" 2490645";" 2342422";"  148223";" 1243881";" 1170076";"   73805";" 1246764";" 1172346";"   74418";" 2490645";" 1582157";" 1317313";"  264844";"  908488";"  117626";"   44185";"   25839";"       0";"   25967";"   21635";"  468432";"  349329";"   66030";"   53073";"  314367";"   91217";"  135072";"   88078";"    8063";"       0";"       0";"   92023";"   72199";"   19824";"   47339";"   35410";"   11929";"   44684";"   36789";"    7895";"   92023";"    9748";"    8398";"    1350";"   82275";"    9711";"     849";"     584";"      73";"    5304";"    2901";"   31148";"   21663";"    3588";"    5898";"   40721";"   13820";"   10169";"   16732";"     695";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
